City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
156,zouerate,22.7187,-12.4521,70.66,32,100,16.44,MR,1684803041
157,georgetown,5.4112,100.3354,82.33,78,20,3.44,MY,1684803058
158,genhe,50.7833,121.5167,69.35,20,5,10.04,CN,1684803273
159,alice springs,-23.7,133.8833,58.55,55,0,12.66,AU,1684803075
160,enewetak,11.3474,162.3373,82.85,75,92,14.97,MH,1684803274
161,djambala,-2.5447,14.7533,67.89,92,96,2.64,CG,1684803274
162,tazovsky,67.4667,78.7,35.62,87,100,17.67,RU,1684803275
163,anna regina,7.2644,-58.5077,77.61,90,96,9.04,GY,1684803275
164,igarka,67.4667,86.5833,37.58,88,100,19.77,RU,1684803276
165,saint-raphael,19.4333,-72.2,73.13,89,0,2.42,HT,1684803276
166,kolonia town,6.964,158.206,89.6,74,100,4.61,FM,1684803277
167,kaa-khem,51.6833,94.7333,55.94,49,100,5.5,RU,1684803277
168,brzozow,49.695,22.0193,46.85,87,2,2.77,PL,1684803277
169,verkhnevilyuysk,63.4453,120.3167,48.34,33,100,6.17,RU,1684803278
170,al jawf,29.5,38.75,77.02,21,10,2.3,SA,1684803278
171,port alfred,-33.5906,26.891,58.41,69,100,16.31,ZA,1684803274
172,benjamin constant,-4.3831,-70.0311,78.93,96,100,1.07,BR,1684803279
173,harper,4.375,-7.7169,80.44,85,75,7.87,LR,1684803279
174,hotan,37.0997,79.9269,74.07,12,7,4.36,CN,1684803280
175,la roda,39.2167,-2.15,56.93,95,100,7.52,ES,1684803280
176,guerrero negro,27.9769,-114.0611,63.86,72,0,18.48,MX,1684803281
177,fisterra,42.9049,-9.2629,61.75,82,6,23.2,ES,1684803281
178,humaita,-7.5061,-63.0208,79.39,80,100,1.43,BR,1684803282
179,sao jose do egito,-7.4789,-37.2744,68.59,95,6,6.22,BR,1684803282
180,saint-pierre,-21.3393,55.4781,73.08,68,20,5.75,RE,1684803282
181,arraial do cabo,-22.9661,-42.0278,67.96,94,20,5.75,BR,1684803283
182,saint-philippe,-21.3585,55.7679,72.99,72,2,2.84,RE,1684803283
183,labrador city,52.9463,-66.9114,37.31,38,75,5.75,CA,1684803009
184,tosontsengel,48.7567,98.2839,40.96,94,100,4.07,MN,1684803284
185,vyritsa,59.4078,30.3481,45.91,94,32,4.52,RU,1684803285
186,palu,-0.8917,119.8707,85.71,70,72,1.83,ID,1684803285
187,el granada,37.5027,-122.4694,81.05,76,75,19.57,US,1684803285
188,grants pass,42.439,-123.3284,70.59,43,0,12.66,US,1684803286
189,leshan,29.5623,103.7639,66.83,65,10,3.76,CN,1684803286
190,abadan,30.3392,48.3043,85.95,48,0,2.3,IR,1684803287
191,tocoa,15.6833,-86.0,85.62,81,95,1.36,HN,1684803287
192,tadine,-21.55,167.8833,74.39,54,86,16.93,NC,1684803288
193,patong,7.8961,98.2966,83.01,99,99,6.15,TH,1684803288
194,burela de cabo,43.65,-7.4,57.16,92,100,12.17,ES,1684803289
195,minas de marcona,-15.2119,-75.1103,57.69,87,66,11.25,PE,1684803289
196,la passe,45.5549,-0.8967,62.83,93,81,13.67,FR,1684803022
197,mykolayiv,46.9659,31.9974,61.25,72,100,9.57,UA,1684803290
198,constantia,44.1833,28.65,57.88,84,90,12.57,RO,1684803290
199,waingapu,-9.6567,120.2641,79.56,74,26,15.97,ID,1684803291
200,beloyarskiy,63.7119,66.6722,56.37,51,9,2.51,RU,1684803291
201,bondo,3.8146,23.6866,70.38,100,75,1.7,CD,1684803292
202,el quebrachal,-25.2833,-64.0667,66.97,91,11,6.35,AR,1684803292
203,buka,40.8108,69.1986,68.45,42,100,6.4,UZ,1684803292
204,luderitz,-26.6481,15.1594,55.17,78,8,7.36,NA,1684803293
205,katabu,-4.9333,122.5167,83.93,65,89,8.21,ID,1684803293
206,nagqu,31.5,92.0,34.45,23,0,3.58,CN,1684803294
207,jamestown,42.097,-79.2353,64.04,59,0,8.05,US,1684803127
208,east london,-33.0153,27.9116,58.55,70,100,11.5,ZA,1684803294
209,tokar,18.4254,37.729,81.64,75,2,6.64,SD,1684803295
210,chonchi,-42.6128,-73.8092,49.12,85,92,11.92,CL,1684803295
211,pisco,-13.7,-76.2167,69.85,78,0,11.5,PE,1684803275
212,harnosand,62.6323,17.9379,46.42,88,100,1.66,SE,1684803296
213,ta`u,-14.2336,-169.5144,81.18,80,25,7.92,AS,1684803297
214,prince george,53.9166,-122.753,52.25,93,100,6.91,CA,1684803184
215,cambrils,41.0748,1.0524,63.72,77,0,0.0,ES,1684803298
216,toliara,-23.35,43.6667,67.44,83,7,6.04,MG,1684803298
217,yanbu,24.0891,38.0637,77.04,83,0,2.3,SA,1684803299
218,adam,22.3756,57.5233,83.25,46,52,4.99,OM,1684803299
219,yekaterinovka,52.0508,44.3451,56.8,74,100,8.86,RU,1684803300
220,chibougamau,49.9168,-74.3659,47.82,29,0,3.44,CA,1684803175
221,filadelfia,39.9523,-75.1638,71.1,63,75,8.05,US,1684803192
222,paso de los libres,-29.7131,-57.0899,68.04,88,0,5.75,AR,1684803301
223,new norfolk,-42.7826,147.0587,56.91,70,100,5.97,AU,1684803301
224,westport,41.1415,-73.3579,63.12,73,100,9.22,US,1684803097
225,pandan,14.0453,124.1694,87.28,67,9,3.62,PH,1684803303
226,daru,-9.0763,143.2092,79.92,79,100,18.07,PG,1684803050
